x-axis-Sec	ch1	ch2
-6.04E-008	5.063	-0.0025
-6.035E-008	5.063	-0.065
-6.03E-008	5	0.06
-6.025E-008	5	-0.065
-6.02E-008	5.063	-0.0025
-6.015E-008	5.063	0.06
-6.01E-008	5	0.06
-6.005E-008	5.125	-0.065
-0.00000006	5.125	0.06
-0.00000006	5.063	-0.0025
-5.99E-008	5.063	0.06
-5.985E-008	5.063	-0.065
-5.98E-008	5.125	-0.0025
-5.975E-008	5.063	-0.0025
-5.97E-008	5.063	-0.065
-5.965E-008	5	-0.0025
-5.96E-008	5.063	-0.065
-5.955E-008	5.063	0.06
-5.95E-008	5.063	-0.065
-5.945E-008	5.063	-0.065
-5.94E-008	5.063	-0.065
-5.935E-008	5	0.06
-5.93E-008	5.125	-0.0025
-5.925E-008	5.063	-0.065
-5.92E-008	5	-0.0025
-5.915E-008	5.125	-0.065
-5.91E-008	5.063	-0.065
-5.905E-008	5.063	-0.065
-0.000000059	5.063	-0.065
-0.000000059	5.063	0.06
-5.89E-008	5.063	0.06
-5.885E-008	5.063	-0.0025
-5.88E-008	5.063	-0.0025
-5.875E-008	5	-0.0025
-5.87E-008	5.063	-0.0025
-5.865E-008	5.063	0.06
-5.86E-008	5.063	-0.0025
-5.855E-008	5.188	-0.065
-5.85E-008	5.063	-0.0025
-5.845E-008	5.063	-0.0025
-5.84E-008	5.063	-0.065
-5.835E-008	5.125	-0.0025
-5.83E-008	5.063	-0.065
-5.825E-008	5.063	-0.0025
-5.82E-008	5.063	-0.065
-5.815E-008	5.063	0.06
-5.81E-008	5.125	-0.065
-5.805E-008	5.063	-0.065
-0.000000058	5.125	-0.065
-0.000000058	5.063	-0.0025
-5.79E-008	5.188	-0.065
-5.785E-008	5.063	-0.0025
-5.78E-008	5.063	-0.065
-5.775E-008	5.063	-0.065
-5.77E-008	5.063	-0.065
-5.765E-008	5.063	0.06
-5.76E-008	5.063	-0.0025
-5.755E-008	5.063	-0.065
-5.75E-008	5.125	-0.065
-5.745E-008	5.063	-0.065
-5.74E-008	5.063	0.06
-5.735E-008	5.063	-0.065
-5.73E-008	5.063	-0.065
-5.725E-008	5.063	-0.0025
-5.72E-008	5.188	-0.0025
-5.715E-008	5.063	-0.0025
-5.71E-008	5	-0.0025
-5.705E-008	5	-0.0025
-0.000000057	5.063	-0.0025
-0.000000057	5.063	-0.0025
-5.69E-008	5	0.06
-5.685E-008	5.125	-0.065
-5.68E-008	5.063	-0.0025
-5.675E-008	5	-0.065
-5.67E-008	5.063	-0.0025
-5.665E-008	5.063	-0.065
-5.66E-008	5.125	-0.065
-5.655E-008	5.125	-0.0025
-5.65E-008	5.063	0.06
-5.645E-008	5	-0.065
-5.64E-008	5	-0.065
-5.635E-008	5	-0.065
-5.63E-008	5.063	-0.065
-5.625E-008	5.063	-0.065
-5.62E-008	5.063	-0.0025
-5.615E-008	5	-0.0025
-5.61E-008	5	-0.0025
-5.605E-008	5.063	0.06
-0.000000056	5.063	-0.0025
-0.000000056	5.063	-0.0025
-5.59E-008	5.063	-0.065
-5.585E-008	5.063	-0.065
-5.58E-008	5.063	-0.0025
-5.575E-008	5.063	-0.0025
-5.57E-008	5	-0.0025
-5.565E-008	5.125	-0.0025
-5.56E-008	5.125	-0.065
-5.555E-008	5.063	-0.065
-5.55E-008	5	-0.065
-5.545E-008	5.063	-0.0025
-5.54E-008	5.063	-0.065
-5.535E-008	5	-0.065
-5.53E-008	5.125	-0.0025
-5.525E-008	5.125	-0.0025
-5.52E-008	5	-0.0025
-5.515E-008	5.063	-0.065
-5.51E-008	5.063	-0.065
-5.505E-008	5.063	-0.065
-0.000000055	5.063	-0.0025
-0.000000055	5.063	-0.065
-5.49E-008	5.063	-0.0025
-5.485E-008	5.063	-0.0025
-5.48E-008	5.063	-0.065
-5.475E-008	5.063	0.06
-5.47E-008	5	-0.0025
-5.465E-008	5	0.06
-5.46E-008	5.188	-0.0025
-5.455E-008	5.063	-0.0025
-5.45E-008	5.125	-0.0025
-5.445E-008	5.188	-0.0025
-5.44E-008	5.063	-0.065
-5.435E-008	5.063	-0.0025
-5.43E-008	5	0.06
-5.425E-008	5	-0.065
-5.42E-008	5	-0.065
-5.415E-008	5.063	-0.065
-5.41E-008	5.063	-0.0025
-5.405E-008	5.063	-0.0025
-0.000000054	5.063	-0.0025
-0.000000054	5.063	-0.065
-5.39E-008	5.063	-0.065
-5.385E-008	5.063	-0.065
-5.38E-008	4.938	-0.065
-5.375E-008	5.125	-0.0025
-5.37E-008	5	-0.065
-5.365E-008	5.125	-0.0025
-5.36E-008	5.063	-0.0025
-5.355E-008	5.063	-0.0025
-5.35E-008	5.063	-0.0025
-5.345E-008	5.063	0.06
-5.34E-008	5.063	-0.0025
-5.335E-008	5.063	-0.0025
-5.33E-008	5	-0.065
-5.325E-008	5.063	-0.0025
-5.32E-008	5.125	-0.065
-5.315E-008	5.125	-0.065
-5.31E-008	5.063	-0.0025
-5.305E-008	5.125	-0.065
-0.000000053	5.125	-0.0025
-0.000000053	5.063	-0.0025
-5.29E-008	5	-0.0025
-5.285E-008	5.063	0.06
-5.28E-008	5.063	-0.0025
-5.275E-008	5.063	-0.065
-5.27E-008	5	0.06
-5.265E-008	5.063	-0.065
-5.26E-008	5.188	-0.0025
-5.255E-008	5	-0.065
-5.25E-008	5.063	-0.0025
-5.245E-008	5.125	-0.065
-5.24E-008	5.063	-0.065
-5.235E-008	5.063	-0.065
-5.23E-008	5.063	-0.0025
-5.225E-008	5	-0.065
-5.22E-008	5.063	-0.065
-5.215E-008	5.063	-0.0025
-5.21E-008	5.063	-0.0025
-5.205E-008	5.125	-0.0025
-0.000000052	5	-0.0025
-0.000000052	5	-0.065
-5.19E-008	5.063	-0.0025
-5.185E-008	5.063	-0.0025
-5.18E-008	5.125	-0.0025
-5.175E-008	5.125	-0.0025
-5.17E-008	5	-0.0025
-5.165E-008	5.063	-0.0025
-5.16E-008	5.063	-0.065
-5.155E-008	5.125	-0.065
-5.15E-008	5	-0.0025
-5.145E-008	5.063	-0.0025
-5.14E-008	5.125	-0.065
-5.135E-008	5.063	0.06
-5.13E-008	5.063	-0.065
-5.125E-008	5.125	-0.065
-5.12E-008	5.125	-0.0025
-5.115E-008	5.125	-0.0025
-5.11E-008	5	-0.065
-5.105E-008	5.063	-0.065
-0.000000051	5.125	-0.0025
-0.000000051	5.063	-0.065
-5.09E-008	5.125	-0.0025
-5.085E-008	5.063	-0.0025
-5.08E-008	5.063	-0.0025
-5.075E-008	5.125	0.06
-5.07E-008	5	-0.0025
-5.065E-008	5.063	-0.0025
-5.06E-008	5.063	-0.0025
-5.055E-008	5	-0.065
-5.05E-008	5.125	-0.0025
-5.045E-008	5.063	0.06
-5.04E-008	5.063	-0.065
-5.035E-008	5	-0.0025
-5.03E-008	5.125	-0.0025
-5.025E-008	5.063	-0.0025
-5.02E-008	5.125	-0.065
-5.015E-008	5.063	-0.065
-5.01E-008	5.063	-0.065
-5.005E-008	5.063	-0.0025
-0.00000005	5.063	-0.065
-0.00000005	5.063	-0.065
-4.99E-008	5.063	-0.065
-4.985E-008	5.063	-0.0025
-4.98E-008	5	-0.0025
-4.975E-008	5	-0.065
-4.97E-008	5.063	-0.0025
-4.965E-008	5.063	-0.065
-4.96E-008	5.188	-0.0025
-4.955E-008	5.063	-0.065
-4.95E-008	5.063	-0.0025
-4.945E-008	5.063	-0.0025
-4.94E-008	5.063	0.06
-4.935E-008	5.063	-0.065
-4.93E-008	5.063	-0.065
-4.925E-008	5.063	-0.065
-4.92E-008	5.125	-0.065
-4.915E-008	5.063	-0.0025
-4.91E-008	5.063	-0.0025
-4.905E-008	5.063	-0.0025
-0.000000049	5.188	-0.0025
-0.000000049	5.063	-0.065
-4.89E-008	5	-0.0025
-4.885E-008	5.063	-0.0025
-4.88E-008	5	-0.0025
-4.875E-008	5.125	-0.0025
-4.87E-008	5.063	-0.0025
-4.865E-008	5.063	-0.065
-4.86E-008	5	-0.0025
-4.855E-008	5.063	-0.0025
-4.85E-008	5	-0.065
-4.845E-008	5	-0.065
-4.84E-008	5.063	-0.0025
-4.835E-008	5.063	-0.065
-4.83E-008	5.063	-0.065
-4.825E-008	5	-0.0025
-4.82E-008	5.063	-0.0025
-4.815E-008	5.125	-0.065
-4.81E-008	5.063	0.06
-4.805E-008	5.063	0.06
-0.000000048	5	-0.0025
-0.000000048	5.063	-0.065
-4.79E-008	5	-0.0025
-4.785E-008	5.063	-0.0025
-4.78E-008	5.063	-0.065
-4.775E-008	5.063	-0.0025
-4.77E-008	5	-0.0025
-4.765E-008	5	-0.0025
-4.76E-008	5	-0.0025
-4.755E-008	5.063	-0.0025
-4.75E-008	5.063	-0.0025
-4.745E-008	5.063	-0.0025
-4.74E-008	5.063	-0.065
-4.735E-008	5.063	-0.0025
-4.73E-008	5.063	-0.0025
-4.725E-008	5.125	-0.065
-4.72E-008	5.063	-0.065
-4.715E-008	5.063	-0.065
-4.71E-008	5.125	-0.065
-4.705E-008	5.063	-0.0025
-0.000000047	5.063	-0.0025
-0.000000047	5.063	-0.0025
-4.69E-008	5.063	-0.0025
-4.685E-008	5.063	-0.0025
-4.68E-008	5.063	-0.065
-4.675E-008	5.063	-0.0025
-4.67E-008	5.125	-0.065
-4.665E-008	5.125	0.06
-4.66E-008	5.063	-0.0025
-4.655E-008	5.125	-0.065
-4.65E-008	5.063	-0.0025
-4.645E-008	5.063	-0.0025
-4.64E-008	5.063	0.06
-4.635E-008	5.063	-0.0025
-4.63E-008	5	-0.0025
-4.625E-008	5.063	-0.0025
-4.62E-008	5.063	-0.065
-4.615E-008	5.063	-0.065
-4.61E-008	5.063	-0.0025
-4.605E-008	5.063	-0.065
-0.000000046	5	-0.065
-0.000000046	5.063	-0.065
-4.59E-008	5.063	-0.065
-4.585E-008	5.063	-0.065
-4.58E-008	5.125	-0.0025
-4.575E-008	5.063	-0.0025
-4.57E-008	5.063	-0.0025
-4.565E-008	5.125	-0.0025
-4.56E-008	5	0.06
-4.555E-008	5.063	-0.0025
-4.55E-008	5.063	-0.065
-4.545E-008	5	-0.065
-4.54E-008	5.125	-0.0025
-4.535E-008	5	-0.0025
-4.53E-008	5.063	-0.065
-4.525E-008	4.938	-0.065
-4.52E-008	5.063	0.06
-4.515E-008	5	-0.065
-4.51E-008	5	-0.0025
-4.505E-008	5.063	-0.065
-0.000000045	5.063	-0.065
-0.000000045	5.063	-0.0025
-4.49E-008	5.063	-0.0025
-4.485E-008	5.063	-0.0025
-4.48E-008	5	-0.0025
-4.475E-008	5.063	-0.065
-4.47E-008	5	-0.065
-4.465E-008	5.063	-0.065
-4.46E-008	5	-0.0025
-4.455E-008	5	-0.0025
-4.45E-008	5.063	-0.0025
-4.445E-008	5	-0.065
-4.44E-008	5	-0.0025
-4.435E-008	5.063	-0.065
-4.43E-008	5.063	-0.0025
-4.425E-008	5.063	-0.0025
-4.42E-008	5.063	-0.065
-4.415E-008	5.063	-0.0025
-4.41E-008	5.125	0.06
-4.405E-008	5	-0.0025
-0.000000044	5	-0.065
-0.000000044	5	-0.0025
-4.39E-008	5	-0.065
-4.385E-008	5.063	-0.0025
-4.38E-008	5	-0.0025
-4.375E-008	5.063	-0.0025
-4.37E-008	5.063	-0.0025
-4.365E-008	5.063	-0.065
-4.36E-008	5.063	-0.065
-4.355E-008	5.063	0.06
-4.35E-008	5	0.06
-4.345E-008	5.063	-0.0025
-4.34E-008	5	-0.065
-4.335E-008	5	-0.065
-4.33E-008	5.063	-0.0025
-4.325E-008	5.063	-0.0025
-4.32E-008	4.938	-0.0025
-4.315E-008	5.063	-0.0025
-4.31E-008	5	-0.0025
-4.305E-008	4.938	-0.0025
-0.000000043	5	-0.065
-0.000000043	5	-0.065
-4.29E-008	5.063	-0.065
-4.285E-008	5.063	-0.0025
-4.28E-008	5.063	0.06
-4.275E-008	5	-0.065
-4.27E-008	4.938	-0.0025
-4.265E-008	5	-0.0025
-4.26E-008	5	-0.065
-4.255E-008	5.125	0.06
-4.25E-008	4.938	-0.065
-4.245E-008	5	-0.0025
-4.24E-008	5.063	-0.0025
-4.235E-008	5	-0.0025
-4.23E-008	4.938	-0.065
-4.225E-008	5	-0.1275
-4.22E-008	5	-0.065
-4.215E-008	5	-0.065
-4.21E-008	5	-0.0025
-4.205E-008	5	-0.0025
-0.000000042	5	-0.0025
-0.000000042	5	-0.065
-4.19E-008	4.938	-0.065
-4.185E-008	4.938	-0.0025
-4.18E-008	4.938	-0.065
-4.175E-008	5	-0.0025
-4.17E-008	5	-0.1275
-4.165E-008	5.063	-0.065
-4.16E-008	5.063	-0.0025
-4.155E-008	5.063	-0.0025
-4.15E-008	5	-0.0025
-4.145E-008	4.938	-0.065
-4.14E-008	5	-0.0025
-4.135E-008	4.938	-0.065
-4.13E-008	5	-0.0025
-4.125E-008	5.063	-0.065
-4.12E-008	4.938	-0.065
-4.115E-008	4.938	-0.065
-4.11E-008	4.938	-0.065
-4.105E-008	4.938	-0.0025
-0.000000041	4.938	-0.0025
-0.000000041	4.938	-0.065
-4.09E-008	5	-0.0025
-4.085E-008	5	-0.1275
-4.08E-008	4.938	-0.065
-4.075E-008	4.938	-0.065
-4.07E-008	5.063	-0.065
-4.065E-008	4.938	-0.065
-4.06E-008	4.938	-0.1275
-4.055E-008	4.938	-0.0025
-4.05E-008	4.875	-0.065
-4.045E-008	4.875	-0.065
-4.04E-008	4.938	-0.0025
-4.035E-008	5	-0.1275
-4.03E-008	4.938	-0.0025
-4.025E-008	4.875	-0.065
