x-axis-Sec	ch1	ch2	ch2
-0.000020875	-0.12	4.984	4.943
-0.00002085	-0.0575	4.984	4.943
-0.000020825	-0.0575	4.984	4.943
-0.0000208	0.005	5	4.88
-0.000020775	-0.1825	4.984	4.943
-0.00002075	0.005	4.984	4.943
-0.000020725	-0.12	5	4.88
-0.0000207	-0.12	4.968	4.943
-0.000020675	-0.12	5	4.943
-0.00002065	-0.12	4.984	4.943
-0.000020625	-0.12	4.984	4.943
-0.0000206	-0.0575	4.984	4.88
-0.000020575	-0.0575	4.984	4.943
-0.00002055	0.005	5	4.88
-0.000020525	-0.12	4.984	4.88
-0.0000205	-0.12	5	4.943
-0.000020475	0.005	4.984	4.943
-0.00002045	-0.12	4.968	4.943
-0.000020425	-0.12	5.015	4.943
-0.0000204	-0.0575	4.968	4.943
-0.000020375	-0.12	5	4.943
-0.00002035	-0.0575	4.968	4.943
-0.000020325	-0.12	4.984	4.943
-0.0000203	-0.12	5	4.88
-0.000020275	-0.12	5	4.943
-0.00002025	-0.12	5.015	4.88
-0.000020225	0.005	4.984	4.88
-0.0000202	-0.12	4.968	4.943
-0.000020175	-0.12	4.968	4.943
-0.00002015	-0.12	5	4.943
-0.000020125	-0.12	5	4.943
-0.0000201	0.005	5	4.943
-0.000020075	0.005	4.984	4.943
-0.00002005	-0.12	5	4.943
-0.000020025	-0.0575	5.015	4.943
-0.00002	-0.12	5	5.005
-0.000019975	-0.12	4.984	4.943
-0.00001995	-0.12	5	4.943
-0.000019925	-0.12	4.968	4.943
-0.0000199	-0.0575	5	4.943
-0.000019875	-0.12	4.968	4.943
-0.00001985	0.005	4.968	4.943
-0.000019825	0.005	4.984	4.943
-0.0000198	0.005	5	4.943
-0.000019775	0.005	5.015	4.943
-0.00001975	-0.12	5	4.943
-0.000019725	-0.12	4.968	4.943
-0.0000197	-0.0575	4.968	4.943
-0.000019675	0.005	4.984	4.943
-0.00001965	-0.0575	4.968	5.005
-0.000019625	-0.12	4.984	4.88
-0.0000196	-0.0575	4.968	4.943
-0.000019575	-0.12	5	4.943
-0.00001955	-0.0575	4.968	4.943
-0.000019525	-0.0575	5	4.943
-0.0000195	-0.0575	4.968	4.943
-0.000019475	0.005	4.984	4.943
-0.00001945	-0.12	4.984	4.943
-0.000019425	-0.0575	4.968	4.943
-0.0000194	0.005	4.968	4.943
-0.000019375	-0.12	4.984	4.943
-0.00001935	-0.0575	4.984	4.943
-0.000019325	-0.12	4.968	4.88
-0.0000193	0.005	5.015	4.943
-0.000019275	-0.0575	4.984	4.943
-0.00001925	-0.0575	5	4.943
-0.000019225	-0.12	5	4.943
-0.0000192	0.005	4.984	4.943
-0.000019175	-0.0575	5	4.943
-0.00001915	-0.0575	5.015	4.943
-0.000019125	-0.0575	4.968	4.943
-0.0000191	0.005	4.968	4.943
-0.000019075	-0.0575	4.984	4.943
-0.00001905	-0.12	5	4.88
-0.000019025	0.005	5	4.943
-0.000019	-0.12	5	4.943
-0.000018975	-0.0575	4.984	4.943
-0.00001895	-0.12	4.968	4.943
-0.000018925	-0.12	4.984	4.943
-0.0000189	-0.0575	4.984	4.88
-0.000018875	0.005	4.984	4.943
-0.00001885	0.005	4.968	4.943
-0.000018825	-0.12	4.984	5.005
-0.0000188	0.005	4.984	4.88
-0.000018775	0.005	4.968	4.943
-0.00001875	-0.12	5	4.943
-0.000018725	-0.12	4.968	4.88
-0.0000187	-0.0575	4.984	5.005
-0.000018675	0.005	4.968	4.88
-0.00001865	0.005	5	5.005
-0.000018625	0.005	4.968	4.943
-0.0000186	-0.12	4.984	4.943
-0.000018575	-0.12	5.015	4.943
-0.00001855	0.005	4.984	4.943
-0.000018525	-0.12	5	4.943
-0.0000185	-0.12	4.968	4.88
-0.000018475	-0.0575	4.984	4.943
-0.00001845	-0.12	4.968	4.943
-0.000018425	-0.12	4.984	4.88
-0.0000184	0.005	4.968	4.88
-0.000018375	0.005	4.984	4.943
-0.00001835	0.005	5	4.943
-0.000018325	0.005	4.968	4.943
-0.0000183	-0.0575	4.968	4.88
-0.000018275	-0.12	5	4.88
-0.00001825	0.005	5	4.943
-0.000018225	-0.12	5.015	5.005
-0.0000182	-0.12	4.968	4.943
-0.000018175	0.005	4.984	4.943
-0.00001815	-0.12	4.968	4.88
-0.000018125	0.005	4.968	4.943
-0.0000181	0.005	4.984	4.943
-0.000018075	-0.0575	5	5.005
-0.00001805	-0.0575	4.984	5.005
-0.000018025	-0.0575	5	4.943
-0.000018	-0.12	5	4.88
-0.000017975	-0.12	4.984	4.943
-0.00001795	-0.0575	5	4.943
-0.000017925	-0.12	4.968	4.943
-0.0000179	0.005	4.984	5.005
-0.000017875	-0.12	4.968	4.88
-0.00001785	0.005	5	5.005
-0.000017825	0.005	4.968	4.943
-0.0000178	-0.12	4.984	4.943
-0.000017775	0.005	4.968	4.943
-0.00001775	-0.12	5	4.88
-0.000017725	-0.12	5.015	4.943
-0.0000177	-0.0575	4.968	4.88
-0.000017675	-0.0575	4.984	5.005
-0.00001765	-0.12	4.968	4.943
-0.000017625	0.005	5	4.943
-0.0000176	0.005	4.984	4.943
-0.000017575	0.005	4.984	5.005
-0.00001755	-0.12	5	4.88
-0.000017525	0.005	5	5.005
-0.0000175	-0.12	5.015	4.943
-0.000017475	-0.0575	4.968	4.943
-0.00001745	0.005	4.968	4.943
-0.000017425	-0.12	4.968	5.005
-0.0000174	-0.12	5	4.88
-0.000017375	0.005	5	4.943
-0.00001735	-0.12	5	4.943
-0.000017325	-0.0575	4.968	4.943
-0.0000173	-0.12	4.968	4.943
-0.000017275	-0.12	5	4.88
-0.00001725	-0.0575	5	5.005
-0.000017225	0.005	4.968	4.943
-0.0000172	-0.0575	4.984	5.005
-0.000017175	-0.0575	5	4.943
-0.00001715	-0.0575	5	4.88
-0.000017125	-0.0575	5	4.88
-0.0000171	0.005	5	4.943
-0.000017075	0.005	5	4.943
-0.00001705	-0.0575	5	5.005
-0.000017025	-0.12	4.984	4.943
-0.000017	0.005	5	4.943
-0.000016975	0.005	5	4.943
-0.00001695	-0.0575	5	4.943
-0.000016925	0.005	4.984	4.943
-0.0000169	-0.0575	5	4.943
-0.000016875	-0.0575	5	4.943
-0.00001685	-0.0575	4.984	4.943
-0.000016825	-0.12	5	5.005
-0.0000168	-0.12	5	5.005
-0.000016775	-0.0575	5	4.943
-0.00001675	0.005	5	5.005
-0.000016725	0.005	4.968	4.943
