x-axis-Sec	ch1	ch2
-0.00001	3.895	-0.02
-0.00000999	3.895	0.0425
-0.00000998	3.833	-0.02
-0.00000997	3.833	-0.02
-0.00000996	3.833	-0.0825
-0.00000995	3.895	-0.02
-0.00000994	3.833	-0.02
-0.00000993	3.833	-0.02
-0.00000992	3.833	-0.0825
-0.00000991	3.895	0.0425
-0.0000099	3.77	-0.02
-0.00000989	3.895	-0.02
-0.00000988	3.833	-0.0825
-0.00000987	3.895	-0.02
-0.00000986	3.833	-0.0825
-0.00000985	3.833	-0.02
-0.00000984	3.833	-0.02
-0.00000983	3.77	0.0425
-0.00000982	3.77	-0.02
-0.00000981	3.895	0.0425
-0.0000098	3.77	-0.02
-0.00000979	3.833	0.0425
-0.00000978	3.833	-0.02
-0.00000977	3.895	-0.02
-0.00000976	3.833	-0.02
-0.00000975	3.833	0.0425
-0.00000974	3.77	-0.02
-0.00000973	3.895	-0.02
-0.00000972	3.77	-0.02
-0.00000971	3.833	0.0425
-0.0000097	3.833	-0.02
-0.00000969	3.77	0.0425
-0.00000968	3.77	-0.0825
-0.00000967	3.77	0.0425
-0.00000966	3.77	-0.02
-0.00000965	3.77	-0.02
-0.00000964	3.77	-0.0825
-0.00000963	3.833	-0.02
-0.00000962	3.77	-0.02
-0.00000961	3.77	0.0425
-0.0000096	3.708	-0.02
-0.00000959	3.833	-0.02
-0.00000958	3.77	-0.0825
-0.00000957	3.77	0.0425
-0.00000956	3.77	-0.02
-0.00000955	3.77	-0.02
-0.00000954	3.77	-0.0825
-0.00000953	3.833	-0.02
-0.00000952	3.77	-0.02
-0.00000951	3.77	0.0425
-0.0000095	3.77	-0.02
-0.00000949	3.77	0.0425
-0.00000948	3.77	-0.0825
-0.00000947	3.77	0.0425
-0.00000946	3.77	-0.02
-0.00000945	3.833	-0.02
-0.00000944	3.77	-0.0825
-0.00000943	3.708	0.0425
-0.00000942	3.77	-0.0825
-0.00000941	3.708	-0.02
-0.0000094	3.77	-0.0825
-0.00000939	3.77	0.0425
-0.00000938	3.708	-0.02
-0.00000937	3.77	-0.02
-0.00000936	3.708	-0.02
-0.00000935	3.77	0.0425
-0.00000934	3.77	-0.0825
-0.00000933	3.833	-0.02
-0.00000932	3.708	-0.02
-0.00000931	3.77	0.0425
-0.0000093	3.708	-0.02
-0.00000929	3.77	0.0425
-0.00000928	3.77	-0.0825
-0.00000927	3.77	0.0425
-0.00000926	3.708	-0.02
-0.00000925	3.708	-0.02
-0.00000924	3.708	-0.02
-0.00000923	3.708	0.0425
-0.00000922	3.645	-0.02
-0.00000921	3.833	0.0425
-0.0000092	3.708	-0.0825
-0.00000919	3.708	-0.02
-0.00000918	3.708	-0.02
-0.00000917	3.708	0.0425
-0.00000916	3.77	-0.02
-0.00000915	3.645	0.0425
-0.00000914	3.708	-0.02
-0.00000913	3.708	-0.02
-0.00000912	3.708	-0.0825
-0.00000911	3.645	0.0425
-0.0000091	3.645	-0.02
-0.00000909	3.708	0.0425
-0.00000908	3.645	-0.02
-0.00000907	3.645	0.0425
-0.00000906	3.645	-0.02
-0.00000905	3.708	-0.02
-0.00000904	3.645	-0.02
-0.00000903	3.645	-0.02
-0.00000902	3.708	-0.02
-0.00000901	3.645	0.0425
-0.000009	3.645	-0.0825
-0.00000899	3.583	0.0425
-0.00000898	3.645	-0.02
-0.00000897	3.708	-0.02
-0.00000896	3.645	-0.02
-0.00000895	3.583	0.0425
-0.00000894	3.645	-0.02
-0.00000893	3.645	0.0425
-0.00000892	3.645	-0.02
-0.00000891	3.708	0.0425
-0.0000089	3.645	-0.02
-0.00000889	3.645	-0.02
-0.00000888	3.645	-0.02
-0.00000887	3.645	0.0425
-0.00000886	3.583	-0.02
-0.00000885	3.645	0.0425
-0.00000884	3.583	-0.02
-0.00000883	3.708	0.0425
-0.00000882	3.645	-0.0825
-0.00000881	3.645	-0.02
-0.0000088	3.645	-0.0825
-0.00000879	3.583	0.0425
-0.00000878	3.645	-0.02
-0.00000877	3.645	0.0425
-0.00000876	3.583	-0.02
-0.00000875	3.645	0.105
-0.00000874	3.645	-0.02
-0.00000873	3.645	0.0425
-0.00000872	3.52	-0.02
-0.00000871	3.708	0.0425
-0.0000087	3.645	-0.02
-0.00000869	3.583	0.0425
-0.00000868	3.52	-0.02
-0.00000867	3.645	0.0425
-0.00000866	3.583	-0.02
-0.00000865	3.583	0.0425
-0.00000864	3.52	-0.02
-0.00000863	3.583	-0.02
-0.00000862	3.583	-0.0825
-0.00000861	3.583	-0.02
-0.0000086	3.52	-0.02
-0.00000859	3.583	0.0425
-0.00000858	3.52	-0.02
-0.00000857	3.645	-0.02
-0.00000856	3.52	-0.02
-0.00000855	3.583	-0.02
-0.00000854	3.52	-0.02
-0.00000853	3.583	0.0425
-0.00000852	3.52	-0.02
-0.00000851	3.583	0.0425
-0.0000085	3.583	-0.02
-0.00000849	3.583	0.0425
-0.00000848	3.583	-0.0825
-0.00000847	3.583	0.0425
-0.00000846	3.52	-0.02
-0.00000845	3.583	0.0425
-0.00000844	3.52	-0.02
-0.00000843	3.583	0.0425
-0.00000842	3.52	-0.02
-0.00000841	3.52	0.0425
-0.0000084	3.458	0.0425
-0.00000839	3.583	0.0425
-0.00000838	3.52	-0.02
-0.00000837	3.583	0.0425
-0.00000836	3.458	0.0425
-0.00000835	3.583	0.0425
-0.00000834	3.458	-0.02
-0.00000833	3.583	0.0425
-0.00000832	3.458	-0.02
-0.00000831	3.52	-0.02
-0.0000083	3.458	-0.02
-0.00000829	3.52	0.0425
-0.00000828	3.52	-0.02
-0.00000827	3.52	0.0425
-0.00000826	3.458	-0.02
-0.00000825	3.52	0.0425
-0.00000824	3.52	-0.02
-0.00000823	3.52	0.0425
-0.00000822	3.458	-0.02
-0.00000821	3.52	0.0425
-0.0000082	3.458	0.0425
-0.00000819	3.52	0.0425
-0.00000818	3.458	-0.02
-0.00000817	3.52	0.0425
-0.00000816	3.458	-0.02
-0.00000815	3.52	0.0425
-0.00000814	3.458	-0.02
-0.00000813	3.52	0.105
-0.00000812	3.458	-0.02
-0.00000811	3.52	0.0425
-0.0000081	3.458	-0.02
-0.00000809	3.52	0.0425
-0.00000808	3.458	-0.02
-0.00000807	3.52	0.0425
-0.00000806	3.458	-0.02
-0.00000805	3.52	0.0425
-0.00000804	3.458	-0.02
-0.00000803	3.52	0.0425
-0.00000802	3.395	-0.02
-0.00000801	3.52	0.0425
-0.000008	3.458	-0.02
-0.00000799	3.52	0.0425
-0.00000798	3.458	-0.02
-0.00000797	3.52	0.0425
-0.00000796	3.395	-0.02
-0.00000795	3.395	0.0425
-0.00000794	3.458	-0.02
-0.00000793	3.395	0.0425
-0.00000792	3.395	-0.0825
-0.00000791	3.458	0.0425
-0.0000079	3.458	-0.02
-0.00000789	3.333	0.0425
-0.00000788	3.458	-0.02
-0.00000787	3.395	0.0425
-0.00000786	3.458	0.0425
-0.00000785	3.395	0.0425
-0.00000784	3.395	-0.02
-0.00000783	3.395	0.0425
-0.00000782	3.458	-0.02
-0.00000781	3.458	0.0425
-0.0000078	3.333	0.0425
-0.00000779	3.395	0.0425
-0.00000778	3.395	-0.0825
-0.00000777	3.395	0.0425
-0.00000776	3.395	-0.02
-0.00000775	3.395	0.0425
-0.00000774	3.395	-0.02
-0.00000773	3.395	0.0425
-0.00000772	3.333	-0.02
-0.00000771	3.333	0.0425
-0.0000077	3.395	-0.02
-0.00000769	3.458	0.0425
-0.00000768	3.333	-0.02
-0.00000767	3.395	0.0425
-0.00000766	3.333	-0.02
-0.00000765	3.395	0.0425
-0.00000764	3.333	-0.02
-0.00000763	3.395	0.105
-0.00000762	3.333	-0.02
-0.00000761	3.333	0.0425
-0.0000076	3.395	-0.02
-0.00000759	3.395	0.0425
-0.00000758	3.333	-0.02
-0.00000757	3.333	0.0425
-0.00000756	3.333	-0.02
-0.00000755	3.395	0.0425
-0.00000754	3.333	-0.02
-0.00000753	3.333	0.0425
-0.00000752	3.333	-0.02
-0.00000751	3.395	0.0425
-0.0000075	3.333	0.105
-0.00000749	3.395	-0.02
-0.00000748	3.333	-0.02
-0.00000747	3.333	0.0425
-0.00000746	3.333	-0.02
-0.00000745	3.395	0.0425
-0.00000744	3.333	-0.02
-0.00000743	3.333	0.0425
-0.00000742	3.333	-0.02
-0.00000741	3.395	0.0425
-0.0000074	3.333	-0.02
-0.00000739	3.333	0.0425
-0.00000738	3.333	-0.02
-0.00000737	3.395	0.0425
-0.00000736	3.333	-0.02
-0.00000735	3.333	0.0425
-0.00000734	3.333	-0.02
-0.00000733	3.27	0.0425
-0.00000732	3.333	-0.0825
-0.00000731	3.395	0.0425
-0.0000073	3.333	-0.02
-0.00000729	3.333	0.0425
-0.00000728	3.333	-0.02
-0.00000727	3.27	0.0425
-0.00000726	3.333	-0.02
-0.00000725	3.395	0.0425
-0.00000724	3.27	-0.02
-0.00000723	3.27	0.0425
-0.00000722	3.27	-0.02
-0.00000721	3.333	0.0425
-0.0000072	3.27	-0.02
-0.00000719	3.395	0.0425
-0.00000718	3.27	-0.02
-0.00000717	3.27	0.0425
-0.00000716	3.27	0.0425
-0.00000715	3.333	0.0425
-0.00000714	3.27	-0.02
-0.00000713	3.27	0.0425
-0.00000712	3.27	0.0425
-0.00000711	3.27	0.105
-0.0000071	3.27	0.0425
-0.00000709	3.208	0.0425
-0.00000708	3.27	-0.02
-0.00000707	3.27	0.0425
-0.00000706	3.27	0.0425
-0.00000705	3.27	0.0425
-0.00000704	3.27	-0.02
-0.00000703	3.27	0.0425
-0.00000702	3.27	-0.02
-0.00000701	3.208	0.0425
-0.000007	3.27	-0.02
-0.00000699	3.27	0.0425
-0.00000698	3.27	-0.02
-0.00000697	3.208	0.0425
-0.00000696	3.208	-0.02
-0.00000695	3.27	0.0425
-0.00000694	3.27	0.0425
-0.00000693	3.145	0.0425
-0.00000692	3.208	-0.02
-0.00000691	3.27	0.0425
-0.0000069	3.27	0.0425
-0.00000689	3.208	0.0425
-0.00000688	3.27	-0.02
-0.00000687	3.27	0.105
-0.00000686	3.27	0.0425
-0.00000685	3.27	0.0425
-0.00000684	3.208	-0.02
-0.00000683	3.208	0.0425
-0.00000682	3.27	-0.02
-0.00000681	3.145	0.0425
-0.0000068	3.208	-0.02
-0.00000679	3.208	0.0425
-0.00000678	3.208	0.105
-0.00000677	3.208	0.0425
-0.00000676	3.208	-0.02
-0.00000675	3.208	0.0425
-0.00000674	3.208	0.0425
-0.00000673	3.145	0.0425
-0.00000672	3.208	-0.02
-0.00000671	3.208	0.0425
-0.0000067	3.208	-0.02
-0.00000669	3.145	0.0425
-0.00000668	3.208	0.0425
-0.00000667	3.208	0.0425
-0.00000666	3.145	-0.02
-0.00000665	3.145	0.105
-0.00000664	3.208	-0.02
-0.00000663	3.145	0.0425
-0.00000662	3.145	0.0425
-0.00000661	3.145	0.0425
-0.0000066	3.145	0.0425
-0.00000659	3.145	0.0425
-0.00000658	3.208	-0.02
-0.00000657	3.145	0.105
-0.00000656	3.208	-0.02
-0.00000655	3.145	0.0425
-0.00000654	3.145	0.105
-0.00000653	3.145	0.0425
-0.00000652	3.145	-0.02
-0.00000651	3.145	0.0425
-0.0000065	3.145	0.0425
-0.00000649	3.145	0.0425
-0.00000648	3.145	0.0425
-0.00000647	3.083	0.0425
-0.00000646	3.083	-0.02
-0.00000645	3.083	0.0425
-0.00000644	3.083	0.0425
-0.00000643	3.145	0.1675
-0.00000642	3.145	-0.02
-0.00000641	3.145	0.0425
-0.0000064	3.145	0.0425
-0.00000639	3.083	0.1675
-0.00000638	3.083	-0.02
-0.00000637	3.083	0.1675
-0.00000636	3.145	0.0425
-0.00000635	3.083	0.0425
-0.00000634	3.145	-0.02
-0.00000633	3.145	0.1675
-0.00000632	3.083	-0.02
-0.00000631	3.083	0.105
-0.0000063	3.083	0.105
-0.00000629	3.083	0.0425
-0.00000628	3.083	-0.02
-0.00000627	3.083	0.1675
-0.00000626	3.083	-0.02
-0.00000625	3.083	0.0425
-0.00000624	3.083	0.0425
-0.00000623	3.083	0.0425
-0.00000622	3.083	0.0425
-0.00000621	3.083	0.105
-0.0000062	3.02	0.0425
-0.00000619	3.083	0.1675
-0.00000618	3.083	0.0425
-0.00000617	3.083	0.1675
-0.00000616	3.145	0.105
-0.00000615	3.083	0.0425
-0.00000614	3.083	0.0425
-0.00000613	3.083	0.0425
-0.00000612	3.02	0.0425
-0.00000611	3.083	0.0425
-0.0000061	3.02	0.0425
-0.00000609	3.083	0.0425
-0.00000608	3.083	0.0425
-0.00000607	3.02	0.1675
-0.00000606	3.083	0.0425
-0.00000605	3.083	0.1675
-0.00000604	3.083	0.105
-0.00000603	3.02	0.0425
-0.00000602	3.02	-0.02
-0.00000601	3.083	0.105
-0.000006	3.02	0.0425
-0.00000599	3.02	0.1675
-0.00000598	3.02	0.0425
-0.00000597	3.083	0.0425
-0.00000596	3.02	0.0425
-0.00000595	3.083	0.0425
-0.00000594	3.02	0.0425
-0.00000593	3.02	0.0425
-0.00000592	3.02	0.0425
-0.00000591	3.083	0.0425
-0.0000059	3.02	0.105
-0.00000589	3.083	0.0425
-0.00000588	3.02	-0.02
-0.00000587	3.02	0.0425
-0.00000586	3.02	0.105
-0.00000585	3.083	0.105
-0.00000584	3.02	0.0425
-0.00000583	2.895	0.0425
-0.00000582	3.02	0.0425
-0.00000581	2.895	0.1675
-0.0000058	2.958	0.105
-0.00000579	3.02	0.1675
-0.00000578	3.02	0.0425
-0.00000577	2.895	0.1675
-0.00000576	2.958	0.0425
-0.00000575	3.083	0.0425
-0.00000574	3.02	0.105
-0.00000573	3.02	0.0425
-0.00000572	2.958	0.105
-0.00000571	2.895	0.0425
-0.0000057	3.02	0.105
-0.00000569	2.895	0.0425
-0.00000568	3.02	0.105
-0.00000567	2.895	0.105
-0.00000566	3.02	0.0425
-0.00000565	2.895	0.1675
-0.00000564	2.958	0.0425
-0.00000563	2.895	0.1675
-0.00000562	2.958	0.0425
-0.00000561	2.895	0.0425
-0.0000056	2.958	0.105
-0.00000559	2.895	0.0425
-0.00000558	2.958	0.105
-0.00000557	2.895	0.0425
-0.00000556	2.958	0.0425
-0.00000555	2.895	0.105
-0.00000554	3.02	0.105
-0.00000553	2.895	0.1675
-0.00000552	2.958	0.105
-0.00000551	2.895	0.1675
-0.0000055	2.958	0.105
-0.00000549	2.895	0.1675
-0.00000548	2.958	0.0425
-0.00000547	2.895	0.0425
-0.00000546	2.958	0.0425
-0.00000545	2.895	0.1675
-0.00000544	2.958	0.105
-0.00000543	2.895	0.0425
-0.00000542	2.895	0.105
-0.00000541	2.895	0.1675
-0.0000054	2.958	0.105
-0.00000539	2.895	0.1675
-0.00000538	2.958	0.105
-0.00000537	2.895	0.1675
-0.00000536	2.958	0.0425
-0.00000535	2.895	0.1675
-0.00000534	2.958	0.105
-0.00000533	2.895	0.0425
-0.00000532	2.895	0.105
-0.00000531	2.833	0.1675
-0.0000053	2.958	0.105
-0.00000529	2.895	0.105
-0.00000528	2.895	0.0425
-0.00000527	2.895	0.1675
-0.00000526	2.895	0.105
-0.00000525	2.895	0.1675
-0.00000524	2.895	0.105
-0.00000523	2.895	0.1675
-0.00000522	2.958	0.105
-0.00000521	2.833	0.1675
-0.0000052	2.895	0.105
-0.00000519	2.895	0.0425
-0.00000518	2.958	0.0425
-0.00000517	2.895	0.1675
-0.00000516	2.895	0.0425
-0.00000515	2.895	0.1675
-0.00000514	2.895	0.105
-0.00000513	2.833	0.1675
-0.00000512	2.895	0.0425
-0.00000511	2.833	0.1675
-0.0000051	2.833	0.105
-0.00000509	2.833	0.1675
-0.00000508	2.833	0.0425
-0.00000507	2.833	0.1675
-0.00000506	2.833	0.105
-0.00000505	2.833	0.1675
-0.00000504	2.833	0.105
-0.00000503	2.895	0.1675
-0.00000502	2.833	0.105
-0.00000501	2.833	0.1675
-0.000005	2.833	0.105
-0.00000499	2.833	0.1675
-0.00000498	2.833	0.0425
-0.00000497	2.833	0.1675
-0.00000496	2.833	0.105
-0.00000495	2.833	0.1675
-0.00000494	2.833	0.0425
-0.00000493	2.833	0.1675
-0.00000492	2.833	0.0425
-0.00000491	2.833	0.1675
-0.0000049	2.895	0.105
-0.00000489	2.833	0.1675
-0.00000488	2.833	0.105
-0.00000487	2.833	0.1675
-0.00000486	2.77	0.105
-0.00000485	2.77	0.1675
-0.00000484	2.833	0.0425
-0.00000483	2.833	0.1675
-0.00000482	2.77	0.105
-0.00000481	2.833	0.1675
-0.0000048	2.77	0.105
-0.00000479	2.77	0.1675
-0.00000478	2.77	0.105
-0.00000477	2.833	0.1675
-0.00000476	2.77	0.105
-0.00000475	2.77	0.1675
-0.00000474	2.77	0.105
-0.00000473	2.833	0.1675
-0.00000472	2.77	0.105
-0.00000471	2.77	0.1675
-0.0000047	2.77	0.105
-0.00000469	2.708	0.1675
-0.00000468	2.77	0.105
-0.00000467	2.77	0.1675
-0.00000466	2.77	0.105
-0.00000465	2.833	0.1675
-0.00000464	2.77	0.105
-0.00000463	2.77	0.1675
-0.00000462	2.708	0.105
-0.00000461	2.833	0.1675
-0.0000046	2.77	0.105
-0.00000459	2.77	0.23
-0.00000458	2.77	0.105
-0.00000457	2.833	0.1675
-0.00000456	2.77	0.105
-0.00000455	2.708	0.1675
-0.00000454	2.708	0.1675
-0.00000453	2.77	0.0425
-0.00000452	2.708	0.105
-0.00000451	2.833	0.23
-0.0000045	2.77	0.105
-0.00000449	2.77	0.1675
-0.00000448	2.708	0.105
-0.00000447	2.708	0.1675
-0.00000446	2.77	0.105
-0.00000445	2.708	0.1675
-0.00000444	2.708	0.105
-0.00000443	2.833	0.1675
-0.00000442	2.77	0.105
-0.00000441	2.77	0.23
-0.0000044	2.77	0.105
-0.00000439	2.833	0.23
-0.00000438	2.708	0.1675
-0.00000437	2.77	0.1675
-0.00000436	2.708	0.1675
-0.00000435	2.708	0.23
-0.00000434	2.645	0.105
-0.00000433	2.77	0.1675
-0.00000432	2.645	0.1675
-0.00000431	2.708	0.1675
-0.0000043	2.645	0.1675
-0.00000429	2.708	0.1675
-0.00000428	2.708	0.1675
-0.00000427	2.833	0.23
-0.00000426	2.708	0.105
-0.00000425	2.77	0.2925
-0.00000424	2.645	0.105
-0.00000423	2.708	0.23
-0.00000422	2.645	0.105
-0.00000421	2.708	0.23
-0.0000042	2.645	0.1675
-0.00000419	2.708	0.1675
-0.00000418	2.645	0.105
-0.00000417	2.708	0.23
-0.00000416	2.645	0.1675
-0.00000415	2.708	0.1675
-0.00000414	2.645	0.105
-0.00000413	2.708	0.1675
-0.00000412	2.645	0.1675
-0.00000411	2.708	0.23
-0.0000041	2.583	0.1675
-0.00000409	2.645	0.1675
-0.00000408	2.583	0.1675
-0.00000407	2.708	0.23
-0.00000406	2.583	0.1675
-0.00000405	2.708	0.23
-0.00000404	2.583	0.1675
-0.00000403	2.645	0.1675
-0.00000402	2.583	0.105
-0.00000401	2.52	0.23
-0.000004	2.583	0.1675
-0.00000399	2.52	0.1675
-0.00000398	2.583	0.1675
-0.00000397	2.708	0.23
-0.00000396	2.583	0.1675
-0.00000395	2.52	0.1675
-0.00000394	2.583	0.1675
-0.00000393	2.645	0.23
-0.00000392	2.645	0.1675
-0.00000391	2.645	0.23
-0.0000039	2.583	0.1675
-0.00000389	2.645	0.23
-0.00000388	2.583	0.1675
-0.00000387	2.645	0.23
-0.00000386	2.583	0.1675
-0.00000385	2.708	0.23
-0.00000384	2.583	0.1675
-0.00000383	2.645	0.23
-0.00000382	2.583	0.1675
-0.00000381	2.645	0.23
-0.0000038	2.52	0.1675
-0.00000379	2.52	0.23
-0.00000378	2.583	0.105
-0.00000377	2.645	0.23
-0.00000376	2.52	0.1675
-0.00000375	2.52	0.23
-0.00000374	2.583	0.1675
-0.00000373	2.52	0.23
-0.00000372	2.52	0.1675
-0.00000371	2.52	0.23
-0.0000037	2.583	0.23
-0.00000369	2.645	0.23
-0.00000368	2.52	0.105
-0.00000367	2.52	0.2925
-0.00000366	2.52	0.1675
-0.00000365	2.52	0.23
-0.00000364	2.52	0.23
-0.00000363	2.645	0.23
-0.00000362	2.583	0.1675
-0.00000361	2.52	0.23
-0.0000036	2.52	0.1675
-0.00000359	2.645	0.2925
-0.00000358	2.583	0.1675
-0.00000357	2.52	0.23
-0.00000356	2.52	0.23
-0.00000355	2.52	0.2925
-0.00000354	2.52	0.23
-0.00000353	2.52	0.23
-0.00000352	2.52	0.1675
-0.00000351	2.52	0.23
-0.0000035	2.583	0.23
-0.00000349	2.52	0.23
-0.00000348	2.52	0.1675
-0.00000347	2.52	0.23
-0.00000346	2.52	0.1675
-0.00000345	2.395	0.23
-0.00000344	2.458	0.23
-0.00000343	2.52	0.23
-0.00000342	2.52	0.23
-0.00000341	2.52	0.23
-0.0000034	2.52	0.23
-0.00000339	2.645	0.23
-0.00000338	2.458	0.23
-0.00000337	2.52	0.23
-0.00000336	2.52	0.1675
-0.00000335	2.52	0.2925
-0.00000334	2.52	0.1675
-0.00000333	2.52	0.23
-0.00000332	2.583	0.1675
-0.00000331	2.52	0.2925
-0.0000033	2.458	0.23
-0.00000329	2.395	0.2925
-0.00000328	2.458	0.23
-0.00000327	2.395	0.23
-0.00000326	2.458	0.23
-0.00000325	2.52	0.23
-0.00000324	2.458	0.2925
-0.00000323	2.52	0.2925
-0.00000322	2.458	0.23
-0.00000321	2.395	0.23
-0.0000032	2.458	0.23
-0.00000319	2.395	0.2925
-0.00000318	2.458	0.23
-0.00000317	2.395	0.23
-0.00000316	2.458	0.2925
-0.00000315	2.52	0.2925
-0.00000314	2.458	0.1675
-0.00000313	2.395	0.23
-0.00000312	2.458	0.23
-0.00000311	2.395	0.2925
-0.0000031	2.458	0.23
-0.00000309	2.395	0.23
-0.00000308	2.458	0.23
-0.00000307	2.395	0.2925
